timestamp,open,high,low,close,volume,MarketCapital
2010-05-07,30.0,30.0,30.0,30.0,642490.0,12441.0
2010-05-10,31.5,31.5,29.1,31.5,1214870.0,12298.0
2010-05-11,33.0,33.0,31.5,32.9,524270.0,9205.0
2010-05-12,31.5,31.9,31.3,31.3,340090.0,8989.0
2010-05-13,30.0,31.8,30.0,31.0,396980.0,9133.0
2010-05-14,31.0,31.0,29.8,31.0,377120.0,9133.0
2010-05-17,29.9,30.7,29.5,29.5,194150.0,8774.0
2010-05-18,29.8,29.8,28.1,28.1,221280.0,8774.0
2010-05-19,26.7,26.7,26.7,26.7,60530.0,8558.0
2010-05-20,25.4,26.7,25.4,25.4,207780.0,8846.0
2010-05-21,24.2,24.2,24.2,24.2,51450.0,8486.0
2010-05-24,23.0,25.4,23.0,25.4,223300.0,8846.0
2010-05-25,25.4,25.4,24.2,24.2,188470.0,9277.0
2010-05-26,24.1,25.4,24.1,25.4,291350.0,9277.0
2010-05-27,25.6,25.6,24.6,25.5,168710.0,9421.0
2010-05-28,26.6,26.6,25.8,26.0,275130.0,9493.0
2010-05-31,24.7,26.2,24.7,25.0,91370.0,9349.0
2010-06-01,25.0,25.0,24.5,24.6,111550.0,9493.0
2010-06-02,24.7,25.5,24.7,25.5,195530.0,9493.0
2010-06-03,25.5,26.1,25.1,25.5,141380.0,9565.0
2010-06-04,25.5,25.5,24.7,24.7,117110.0,9637.0
2010-06-07,23.6,24.5,23.5,23.5,155480.0,9277.0
2010-06-08,22.5,23.8,22.5,23.5,86390.0,9349.0
2010-06-09,23.9,23.9,23.0,23.5,106760.0,9493.0
2010-06-10,23.5,23.5,22.9,23.4,96230.0,9565.0
2010-06-11,23.9,23.9,23.3,23.3,92870.0,9637.0
2010-06-14,23.3,23.8,23.1,23.6,115910.0,9852.0
2010-06-15,23.8,23.9,23.6,23.7,166440.0,9565.0
2010-06-16,24.1,24.8,24.0,24.8,193920.0,9709.0
2010-06-17,25.3,26.0,25.0,26.0,632510.0,9852.0
2010-06-18,26.0,26.0,26.0,26.0,214810.0,9709.0
2010-06-21,25.3,25.9,25.3,25.3,137690.0,9924.0
2010-06-22,25.3,25.3,24.4,24.4,145490.0,10068.0
2010-06-23,23.9,24.5,23.9,23.9,205240.0,9709.0
2010-06-24,24.3,24.4,23.9,24.0,187170.0,9996.0
2010-06-25,23.6,24.3,23.6,23.7,145690.0,9852.0
2010-06-28,23.5,24.2,23.5,23.7,122730.0,9781.0
2010-06-29,23.7,24.4,23.7,23.7,141540.0,9996.0
2010-06-30,23.7,23.7,23.2,23.2,103910.0,9924.0
2010-07-01,23.9,23.9,23.2,23.7,155290.0,10068.0
2010-07-02,24.0,24.1,23.5,23.7,94100.0,13014.0
2010-07-05,23.6,23.8,23.3,23.3,93960.0,13109.0
2010-07-06,23.3,23.5,22.9,22.9,128970.0,13014.0
2010-07-07,23.4,23.4,22.7,22.7,101530.0,12918.0
2010-07-08,22.7,23.4,22.7,22.8,151180.0,13301.0
2010-07-09,23.3,23.9,23.3,23.9,316580.0,13205.0
2010-07-12,25.0,25.0,25.0,25.0,389570.0,13109.0
2010-07-13,26.2,26.2,26.0,26.2,1044020.0,13301.0
2010-07-14,26.9,27.1,25.9,25.9,973730.0,13109.0
2010-07-15,25.8,26.8,25.4,25.7,869390.0,13301.0
2010-07-16,25.5,26.9,25.5,26.5,1401730.0,13301.0
2010-07-19,26.5,26.5,26.0,26.2,808050.0,13397.0
2010-07-20,26.3,27.5,26.2,27.5,2247570.0,13397.0
2010-07-21,27.9,27.9,26.6,26.8,875670.0,13301.0
2010-07-22,26.8,26.8,26.1,26.1,917680.0,13397.0
2010-07-23,26.3,27.0,26.2,26.5,720000.0,13492.0
2010-07-26,26.8,27.5,26.5,26.8,899960.0,13301.0
2010-07-27,26.9,27.1,26.4,26.4,599180.0,13875.0
2010-07-28,26.1,26.3,25.6,25.7,765620.0,13588.0
2010-07-29,25.8,26.0,25.4,25.6,456500.0,14258.0
2010-07-30,25.8,26.4,25.7,26.0,680700.0,14736.0
2010-08-02,25.9,27.1,25.9,26.6,701820.0,14641.0
2010-08-03,26.5,27.0,26.3,26.3,505750.0,14928.0
2010-08-04,26.3,26.3,25.5,25.6,596270.0,14449.0
2010-08-05,26.0,26.1,25.0,25.0,528560.0,15119.0
2010-08-06,25.0,25.5,24.5,24.5,599650.0,14869.0
2010-08-09,24.8,24.8,23.3,23.5,655880.0,14482.0
2010-08-10,23.0,23.8,22.4,23.5,781930.0,14289.0
2010-08-11,23.9,24.0,23.0,23.5,294210.0,14289.0
2010-08-12,23.0,23.2,22.4,23.2,977460.0,13731.0
2010-08-13,22.2,23.3,22.2,23.0,323240.0,13690.0
2010-08-16,23.5,24.1,23.3,24.0,1041690.0,14172.0
2010-08-17,24.4,24.4,23.2,23.9,359010.0,14461.0
2010-08-18,23.5,23.5,22.8,23.0,684350.0,13979.0
2010-08-19,23.1,23.1,22.5,22.6,277460.0,13883.0
2010-08-20,22.4,22.6,21.7,22.6,328470.0,14461.0
2010-08-23,21.9,22.0,21.5,21.5,343770.0,14076.0
2010-08-24,20.5,20.9,20.5,20.5,442730.0,13497.0
2010-08-25,19.5,19.6,19.5,19.5,215950.0,13401.0
2010-08-26,19.5,19.7,18.6,18.6,740110.0,13497.0
2010-08-27,17.8,18.9,17.7,18.6,447450.0,13497.0
2010-08-30,19.3,19.5,19.3,19.5,417510.0,13883.0
2010-08-31,19.5,20.3,19.2,20.1,594830.0,14461.0
2010-09-01,20.3,20.3,19.2,19.2,1293640.0,14365.0
2010-09-06,19.3,20.1,19.3,20.1,366880.0,14269.0
2010-09-07,21.1,21.1,21.1,21.1,223120.0,14076.0
2010-09-08,21.0,22.0,20.4,21.5,1015260.0,13979.0
2010-09-09,21.7,22.3,21.2,21.4,1182210.0,14172.0
2010-09-10,21.0,21.4,20.4,20.4,514590.0,13979.0
2010-09-13,19.5,20.2,19.4,19.4,505390.0,14076.0
2010-09-14,19.8,19.8,18.8,19.4,421180.0,14076.0
2010-09-15,19.4,19.4,18.5,18.7,380000.0,14076.0
2010-09-16,19.2,19.2,18.5,18.8,217040.0,13883.0
2010-09-17,19.3,19.7,19.0,19.7,397360.0,14172.0
2010-09-20,20.6,20.6,20.0,20.2,1492710.0,14076.0
2010-09-21,19.6,20.4,19.6,20.0,500690.0,13883.0
2010-09-22,20.0,20.1,19.8,19.8,219620.0,13787.0
2010-09-23,19.7,19.9,18.9,19.3,489240.0,13787.0
2010-09-24,19.8,19.8,19.0,19.2,414900.0,13594.0
2010-09-27,18.7,19.4,18.7,19.0,230230.0,13497.0
2010-09-28,19.2,19.7,19.0,19.0,299570.0,13690.0
2010-09-29,18.7,19.3,18.6,18.7,359360.0,13594.0
2010-09-30,18.5,18.8,18.1,18.4,482770.0,13690.0
2010-10-01,18.5,18.7,18.1,18.1,264510.0,13690.0
2010-10-04,18.0,18.0,17.2,17.2,499290.0,13690.0
2010-10-05,16.5,17.2,16.4,17.2,469030.0,13883.0
2010-10-06,17.2,17.8,16.9,17.5,296850.0,13979.0
2010-10-07,17.1,17.8,16.8,16.8,401200.0,14172.0
2010-10-08,16.8,17.0,16.5,16.5,296030.0,14076.0
2010-10-11,16.4,17.3,16.4,17.3,572720.0,13883.0
2010-10-12,17.4,17.4,16.7,16.8,326370.0,13787.0
2010-10-13,16.6,17.1,16.6,16.9,256540.0,13979.0
2010-10-14,17.3,17.3,16.8,16.8,134010.0,14076.0
2010-10-15,16.8,16.8,16.5,16.6,179780.0,13787.0
2010-10-18,16.8,16.8,16.5,16.5,115430.0,13787.0
2010-10-19,16.5,16.6,15.7,15.7,573360.0,13787.0
2010-10-20,15.2,15.7,15.0,15.0,366340.0,13594.0
2010-10-21,15.0,15.3,14.6,15.0,459450.0,13401.0
2010-10-22,14.6,15.3,14.6,14.7,295760.0,13401.0
2010-10-25,14.2,15.0,14.2,15.0,153340.0,13401.0
2010-10-26,15.0,15.7,15.0,15.7,614940.0,13787.0
2010-10-27,15.9,15.9,15.1,15.2,205220.0,13979.0
2010-10-28,15.2,15.3,14.8,15.0,257960.0,14172.0
2010-10-29,15.0,15.3,14.8,14.8,349510.0,14751.0
2010-11-01,14.7,14.9,14.7,14.8,234650.0,14365.0
2010-11-02,15.0,15.0,14.3,14.6,289090.0,14076.0
2010-11-03,14.7,14.7,14.3,14.3,308830.0,14076.0
2010-11-04,14.3,14.9,14.3,14.5,141930.0,14187.0
2010-11-05,15.0,15.0,14.5,14.8,242230.0,14669.0
2010-11-08,14.5,15.0,14.4,15.0,245660.0,13994.0
2010-11-09,14.6,14.8,14.3,14.4,218540.0,14090.0
2010-11-10,14.1,14.4,14.0,14.1,65190.0,14283.0
2010-11-11,13.9,14.4,13.5,13.5,131840.0,13994.0
2010-11-12,13.5,13.5,12.9,12.9,376830.0,13897.0
2010-11-15,13.4,13.4,12.3,12.3,274010.0,13511.0
2010-11-16,12.0,12.0,11.7,11.7,181600.0,13415.0
2010-11-17,11.5,11.8,11.3,11.5,497060.0,13222.0
2010-11-18,12.0,12.0,11.9,12.0,166110.0,13318.0
2010-11-19,12.5,12.5,11.8,11.9,348890.0,13125.0
2010-11-22,11.9,11.9,11.4,11.4,299700.0,13318.0
2010-11-23,11.4,11.7,11.4,11.4,240570.0,13511.0
2010-11-24,11.4,11.9,11.1,11.7,411430.0,13704.0
2010-11-25,11.8,12.2,11.8,12.2,473210.0,13511.0
2010-11-26,12.4,12.8,12.2,12.8,986100.0,13222.0
2010-11-29,12.2,13.3,12.2,13.3,832470.0,13608.0
2010-11-30,13.5,13.9,13.5,13.9,1461270.0,13511.0
2010-12-01,14.0,14.1,13.4,13.8,957570.0,13222.0
2010-12-02,13.8,14.2,13.2,14.0,1271070.0,13318.0
2010-12-03,14.7,14.7,14.6,14.7,1204540.0,13318.0
2010-12-06,14.9,15.4,14.2,15.4,1634760.0,13222.0
2010-12-07,14.9,16.0,14.9,15.1,1108250.0,13029.0
2010-12-08,15.0,15.3,14.4,14.4,1293600.0,12932.0
2010-12-09,14.1,14.9,13.8,14.4,828110.0,13125.0
2010-12-10,14.6,15.1,14.5,15.1,1415840.0,13222.0
2010-12-13,15.8,15.8,15.7,15.8,1015880.0,13415.0
2010-12-14,15.8,16.0,15.1,15.1,1176240.0,13318.0
2010-12-15,15.3,15.4,14.6,14.7,1154970.0,13029.0
2010-12-16,14.3,14.4,14.0,14.0,864080.0,12643.0
2010-12-17,14.7,14.7,13.8,14.6,1044070.0,12739.0
2010-12-20,14.9,14.9,13.9,13.9,885390.0,12739.0
2010-12-21,13.7,14.3,13.3,13.9,542760.0,12546.0
2010-12-22,14.3,14.3,13.8,13.8,673610.0,12450.0
2010-12-23,14.0,14.0,13.2,13.3,237400.0,12546.0
2010-12-24,13.3,13.5,13.0,13.1,185290.0,12450.0
2010-12-27,13.5,13.6,13.1,13.4,275960.0,12450.0
2010-12-28,13.5,14.0,13.5,14.0,194490.0,12546.0
2010-12-29,14.7,14.7,14.0,14.1,458860.0,12450.0
2010-12-30,14.1,14.3,13.8,14.0,274250.0,12257.0
2010-12-31,14.0,14.2,13.8,13.9,268450.0,12450.0
2011-01-04,13.9,14.2,13.9,14.0,198630.0,12257.0
2011-01-05,13.9,13.9,13.6,13.6,249110.0,12064.0
2011-01-06,13.5,13.7,13.3,13.6,168440.0,12064.0
2011-01-07,13.8,13.8,13.5,13.5,82360.0,11967.0
2011-01-10,13.5,13.5,13.0,13.0,353990.0,12064.0
2011-01-11,12.8,13.0,12.4,12.4,274680.0,12064.0
2011-01-12,12.5,12.7,12.4,12.5,241440.0,11775.0
2011-01-13,12.5,12.9,12.5,12.9,187100.0,11678.0
2011-01-14,12.9,13.1,12.7,12.9,257200.0,12257.0
2011-01-17,12.7,13.3,12.7,12.9,275420.0,12547.0
2011-01-18,12.7,13.2,12.4,12.4,379240.0,12547.0
2011-01-19,12.5,13.0,12.4,12.4,469700.0,12450.0
2011-01-20,12.4,12.8,12.4,12.7,278350.0,12257.0
2011-01-21,12.8,12.9,12.6,12.7,349050.0,12354.0
2011-01-24,12.5,12.6,12.1,12.1,601660.0,12161.0
2011-01-25,12.0,12.2,11.8,11.8,331280.0,12064.0
2011-01-26,11.7,12.0,11.7,11.9,142240.0,11968.0
2011-01-27,11.9,12.0,11.6,11.6,439540.0,12547.0
2011-01-28,11.5,11.9,11.1,11.1,2009880.0,12161.0
2011-02-08,10.9,11.4,10.9,11.0,729800.0,12257.0
2011-02-09,11.3,11.4,10.7,10.7,514210.0,12161.0
2011-02-10,10.7,11.2,10.6,11.2,575750.0,12064.0
2011-02-11,11.4,11.7,11.1,11.4,717530.0,11968.0
2011-02-14,11.4,11.5,11.0,11.0,501910.0,11871.0
2011-02-15,11.1,11.2,10.8,11.2,454410.0,11871.0
2011-02-16,11.1,11.2,10.8,10.8,291400.0,11775.0
2011-02-17,10.7,10.8,10.5,10.6,560840.0,11775.0
2011-02-18,10.6,10.7,10.1,10.2,672620.0,11196.0
2011-02-21,10.0,10.0,9.7,9.7,352110.0,10713.0
2011-02-22,9.4,9.5,9.3,9.3,1107110.0,10424.0
2011-02-23,9.3,9.7,9.2,9.4,415490.0,10327.0
2011-02-24,9.2,9.4,9.0,9.1,605850.0,10231.0
2011-02-25,9.3,9.3,8.9,9.2,286080.0,10713.0
2011-02-28,9.0,9.3,8.9,8.9,308020.0,10424.0
2011-03-01,8.9,8.9,8.6,8.6,271640.0,10520.0
2011-03-02,8.4,8.4,8.2,8.2,576100.0,10424.0
2011-03-03,7.9,8.1,7.8,7.8,679800.0,10424.0
2011-03-04,7.9,7.9,7.6,7.7,579290.0,10424.0
2011-03-07,7.6,7.8,7.5,7.5,182380.0,10424.0
2011-03-08,7.5,7.7,7.4,7.4,281080.0,10617.0
2011-03-09,7.3,7.3,7.1,7.3,524650.0,10424.0
2011-03-10,7.2,7.5,7.2,7.5,312500.0,10520.0
2011-03-11,7.8,7.8,7.8,7.8,208640.0,10424.0
2011-03-14,7.9,7.9,7.5,7.5,627690.0,10231.0
2011-03-15,7.4,7.8,7.3,7.6,395730.0,10134.0
2011-03-16,7.8,7.9,7.7,7.9,475120.0,10134.0
2011-03-17,8.1,8.2,8.1,8.2,960880.0,10038.0
2011-03-18,8.2,8.6,8.0,8.6,535710.0,10231.0
2011-03-21,9.0,9.0,8.9,9.0,1055960.0,10231.0
2011-03-22,9.0,9.0,8.6,8.6,642670.0,10231.0
2011-03-23,8.4,8.6,8.2,8.5,568700.0,10327.0
2011-03-24,8.6,8.6,8.4,8.5,194740.0,10231.0
